Gene	Gene description	Concentration	Unit
SRP9	Signal recognition particle 9	14	ng/L
EML4	EMAP like 4	14	ng/L
SCRN3	Secernin 3	14	ng/L
GUCY1A1	Guanylate cyclase 1 soluble subunit alpha 1	14	ng/L
MARS1	Methionyl-tRNA synthetase 1	14	ng/L
PHYHD1	Phytanoyl-CoA dioxygenase domain containing 1	14	ng/L
ZBTB8OS	Zinc finger and BTB domain containing 8 opposite strand	14	ng/L
EIF3K	Eukaryotic translation initiation factor 3 subunit K	14	ng/L
PPP1R2	Protein phosphatase 1 regulatory inhibitor subunit 2	14	ng/L
NDUFA4	NDUFA4 mitochondrial complex associated	14	ng/L
CIAPIN1	Cytokine induced apoptosis inhibitor 1	13	ng/L
ABCF2	ATP binding cassette subfamily F member 2	13	ng/L
IDI1	Isopentenyl-diphosphate delta isomerase 1	13	ng/L
MYOM1	Myomesin 1	13	ng/L
NUP93	Nucleoporin 93	13	ng/L
CHCHD3	Coiled-coil-helix-coiled-coil-helix domain containing 3	13	ng/L
HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	13	ng/L
EBNA1BP2	EBNA1 binding protein 2	13	ng/L
CRISPLD1	Cysteine rich secretory protein LCCL domain containing 1	13	ng/L
MCEE	Methylmalonyl-CoA epimerase	13	ng/L
PPP1R12C	Protein phosphatase 1 regulatory subunit 12C	13	ng/L
ITFG1	Integrin alpha FG-GAP repeat containing 1	13	ng/L
TOMM40	Translocase of outer mitochondrial membrane 40	13	ng/L
ACY3	Aminoacylase 3	13	ng/L
SULF1	Sulfatase 1	13	ng/L
PLCB2	Phospholipase C beta 2	13	ng/L
MFGE8	Milk fat globule EGF and factor V/VIII domain containing	13	ng/L
ARHGAP17	Rho GTPase activating protein 17	13	ng/L
IL18	Interleukin 18	13	ng/L
VBP1	VHL binding protein 1	13	ng/L
PLIN1	Perilipin 1	13	ng/L
DNAJC7	DnaJ heat shock protein family (Hsp40) member C7	13	ng/L
PTK2	Protein tyrosine kinase 2	13	ng/L
LINGO1	Leucine rich repeat and Ig domain containing 1	13	ng/L
DDX23	DEAD-box helicase 23	13	ng/L
PDXDC1	Pyridoxal dependent decarboxylase domain containing 1	13	ng/L
ACBD3	Acyl-CoA binding domain containing 3	13	ng/L
SLITRK6	SLIT and NTRK like family member 6	13	ng/L
IPO4	Importin 4	13	ng/L
ATG7	Autophagy related 7	13	ng/L
DDRGK1	DDRGK domain containing 1	13	ng/L
DNAJC9	DnaJ heat shock protein family (Hsp40) member C9	13	ng/L
MAP2K3	Mitogen-activated protein kinase kinase 3	12	ng/L
SEL1L	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase	12	ng/L
ADAM11	ADAM metallopeptidase domain 11	12	ng/L
PICALM	Phosphatidylinositol binding clathrin assembly protein	12	ng/L
SLC25A24	Solute carrier family 25 member 24	12	ng/L
PIR	Pirin	12	ng/L
LAG3	Lymphocyte activating 3	12	ng/L
CD200	CD200 molecule	12	ng/L
ACIN1	Apoptotic chromatin condensation inducer 1	12	ng/L
ABHD11	Abhydrolase domain containing 11	12	ng/L
GRPEL1	"GrpE like 1, mitochondrial"	12	ng/L
NCF2	Neutrophil cytosolic factor 2	12	ng/L
TNFSF10	TNF superfamily member 10	12	ng/L
NPY	Neuropeptide Y	12	ng/L
USP9X	Ubiquitin specific peptidase 9 X-linked	12	ng/L
POR	Cytochrome p450 oxidoreductase	12	ng/L
BBOX1	Gamma-butyrobetaine hydroxylase 1	12	ng/L
TES	Testin LIM domain protein	12	ng/L
ARL3	ADP ribosylation factor like GTPase 3	12	ng/L
PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	12	ng/L
MINK1	Misshapen like kinase 1	12	ng/L
SCCPDH	Saccharopine dehydrogenase (putative)	12	ng/L
GALNT14	Polypeptide N-acetylgalactosaminyltransferase 14	12	ng/L
NOLC1	Nucleolar and coiled-body phosphoprotein 1	12	ng/L
GON7	GON7 subunit of KEOPS complex	12	ng/L
GAS1	Growth arrest specific 1	12	ng/L
PTTG1IP	PTTG1 interacting protein	12	ng/L
S100A13	S100 calcium binding protein A13	12	ng/L
LAMB3	Laminin subunit beta 3	12	ng/L
FAM3D	FAM3 metabolism regulating signaling molecule D	12	ng/L
NPEPL1	Aminopeptidase like 1	12	ng/L
SLC25A13	Solute carrier family 25 member 13	11	ng/L
HMGB3	High mobility group box 3	11	ng/L
ATP2B4	ATPase plasma membrane Ca2+ transporting 4	11	ng/L
AP3D1	Adaptor related protein complex 3 subunit delta 1	11	ng/L
SNRPA	Small nuclear ribonucleoprotein polypeptide A	11	ng/L
CD82	CD82 molecule	11	ng/L
SRRT	"Serrate, RNA effector molecule"	11	ng/L
CMTM6	CKLF like MARVEL transmembrane domain containing 6	11	ng/L
ANXA10	Annexin A10	11	ng/L
AMPD1	Adenosine monophosphate deaminase 1	11	ng/L
ABCD3	ATP binding cassette subfamily D member 3	11	ng/L
STX12	Syntaxin 12	11	ng/L
HS1BP3	HCLS1 binding protein 3	11	ng/L
FGF23	Fibroblast growth factor 23	11	ng/L
GIPC1	GIPC PDZ domain containing family member 1	11	ng/L
MYBBP1A	MYB binding protein 1a	11	ng/L
SPX	Spexin hormone	11	ng/L
TOR1A	Torsin family 1 member A	11	ng/L
TOR1AIP1	Torsin 1A interacting protein 1	11	ng/L
ITPKB	Inositol-trisphosphate 3-kinase B	11	ng/L
MAGEA4	MAGE family member A4	11	ng/L
GLYAT	Glycine-N-acyltransferase	11	ng/L
DST	Dystonin	11	ng/L
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	11	ng/L
GALK2	Galactokinase 2	11	ng/L
SST	Somatostatin	11	ng/L
TSPAN33	Tetraspanin 33	11	ng/L
NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	11	ng/L
SNF8	SNF8 subunit of ESCRT-II	11	ng/L
PCSK7	Proprotein convertase subtilisin/kexin type 7	11	ng/L
NBEAL2	Neurobeachin like 2	11	ng/L
VPS28	VPS28 subunit of ESCRT-I	11	ng/L
C9orf64	Chromosome 9 open reading frame 64	11	ng/L
CHST14	Carbohydrate sulfotransferase 14	11	ng/L
HTRA4	HtrA serine peptidase 4	11	ng/L
NADSYN1	NAD synthetase 1	11	ng/L
SULT1B1	Sulfotransferase family 1B member 1	11	ng/L
BAIAP2	BAR/IMD domain containing adaptor protein 2	11	ng/L
BDNF	Brain derived neurotrophic factor	11	ng/L
PSAPL1	Prosaposin like 1	11	ng/L
CDH4	Cadherin 4	11	ng/L
TOR3A	Torsin family 3 member A	11	ng/L
HDAC2	Histone deacetylase 2	11	ng/L
ANKRD28	Ankyrin repeat domain 28	11	ng/L
MSMP	"Microseminoprotein, prostate associated"	11	ng/L
HOGA1	4-hydroxy-2-oxoglutarate aldolase 1	11	ng/L
UPF1	UPF1 RNA helicase and ATPase	10	ng/L
PQBP1	Polyglutamine binding protein 1	10	ng/L
EMC2	ER membrane protein complex subunit 2	10	ng/L
PPP6R1	Protein phosphatase 6 regulatory subunit 1	10	ng/L
DDX6	DEAD-box helicase 6	10	ng/L
TMEM59	Transmembrane protein 59	10	ng/L
EPCAM	Epithelial cell adhesion molecule	10	ng/L
NRN1	Neuritin 1	10	ng/L
EMC1	ER membrane protein complex subunit 1	10	ng/L
A4GALT	"Alpha 1,4-galactosyltransferase (P blood group)"	10	ng/L
HAT1	Histone acetyltransferase 1	10	ng/L
ACSS2	Acyl-CoA synthetase short chain family member 2	10	ng/L
PCDH15	Protocadherin related 15	10	ng/L
CD1A	CD1a molecule	10	ng/L
MGAT4B	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B"	10	ng/L
JSRP1	Junctional sarcoplasmic reticulum protein 1	10	ng/L
KYAT1	Kynurenine aminotransferase 1	10	ng/L
GTPBP2	GTP binding protein 2	10	ng/L
LSM1	"LSM1 homolog, mRNA degradation associated"	10	ng/L
TYMS	Thymidylate synthetase	10	ng/L
PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	10	ng/L
UBE2J1	Ubiquitin conjugating enzyme E2 J1	10	ng/L
TOP1	DNA topoisomerase I	10	ng/L
ABHD16A	"Abhydrolase domain containing 16A, phospholipase"	10	ng/L
NUP62	Nucleoporin 62	10	ng/L
RBM14	RNA binding motif protein 14	10	ng/L
BCKDHA	Branched chain keto acid dehydrogenase E1 subunit alpha	10	ng/L
SMC4	Structural maintenance of chromosomes 4	9.9	ng/L
BMPER	BMP binding endothelial regulator	9.9	ng/L
TRMT112	TRNA methyltransferase activator subunit 11-2	9.9	ng/L
TRABD2A	TraB domain containing 2A	9.9	ng/L
XPO5	Exportin 5	9.8	ng/L
TACC2	Transforming acidic coiled-coil containing protein 2	9.8	ng/L
DDX46	DEAD-box helicase 46	9.8	ng/L
WFDC1	WAP four-disulfide core domain 1	9.7	ng/L
AIP	Aryl hydrocarbon receptor interacting protein	9.7	ng/L
FXR1	FMR1 autosomal homolog 1	9.7	ng/L
PAIP2	Poly(A) binding protein interacting protein 2	9.7	ng/L
OXLD1	Oxidoreductase like domain containing 1	9.7	ng/L
SNRNP70	Small nuclear ribonucleoprotein U1 subunit 70	9.6	ng/L
LTBR	Lymphotoxin beta receptor	9.6	ng/L
KIAA1549	KIAA1549	9.6	ng/L
REN	Renin	9.6	ng/L
NLGN2	Neuroligin 2	9.6	ng/L
SLC9A1	Solute carrier family 9 member A1	9.5	ng/L
FARSB	Phenylalanyl-tRNA synthetase subunit beta	9.5	ng/L
ECPAS	Ecm29 proteasome adaptor and scaffold	9.5	ng/L
RANBP3	RAN binding protein 3	9.4	ng/L
BMP2	Bone morphogenetic protein 2	9.4	ng/L
TIMM8A	Translocase of inner mitochondrial membrane 8A	9.4	ng/L
PMM2	Phosphomannomutase 2	9.4	ng/L
MGST3	Microsomal glutathione S-transferase 3	9.4	ng/L
CXADR	CXADR Ig-like cell adhesion molecule	9.4	ng/L
OPA1	OPA1 mitochondrial dynamin like GTPase	9.4	ng/L
TBC1D13	TBC1 domain family member 13	9.3	ng/L
ENAM	Enamelin	9.3	ng/L
PRPF31	Pre-mRNA processing factor 31	9.2	ng/L
HYPK	Huntingtin interacting protein K	9.2	ng/L
SLC25A1	Solute carrier family 25 member 1	9.1	ng/L
ACADS	Acyl-CoA dehydrogenase short chain	9.1	ng/L
GNL3	G protein nucleolar 3	9.1	ng/L
UCMA	Upper zone of growth plate and cartilage matrix associated	9.1	ng/L
NCF4	Neutrophil cytosolic factor 4	9	ng/L
FTSJ3	FtsJ RNA 2'-O-methyltransferase 3	9	ng/L
TRIP10	Thyroid hormone receptor interactor 10	9	ng/L
TMEM130	Transmembrane protein 130	9	ng/L
SPECC1	Sperm antigen with calponin homology and coiled-coil domains 1	8.9	ng/L
MYG1	MYG1 exonuclease	8.9	ng/L
ACSL4	Acyl-CoA synthetase long chain family member 4	8.8	ng/L
EIF2AK2	Eukaryotic translation initiation factor 2 alpha kinase 2	8.7	ng/L
IDH3G	Isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma	8.7	ng/L
DOCK2	Dedicator of cytokinesis 2	8.7	ng/L
IL36RN	Interleukin 36 receptor antagonist	8.7	ng/L
IGLON5	IgLON family member 5	8.7	ng/L
LUC7L2	"LUC7 like 2, pre-mRNA splicing factor"	8.7	ng/L
ATP6V0C	ATPase H+ transporting V0 subunit c	8.7	ng/L
NUP205	Nucleoporin 205	8.6	ng/L
SMC1A	Structural maintenance of chromosomes 1A	8.5	ng/L
HSD17B1	Hydroxysteroid 17-beta dehydrogenase 1	8.5	ng/L
HSPBP1	HSPA (Hsp70) binding protein 1	8.5	ng/L
FNDC1	Fibronectin type III domain containing 1	8.5	ng/L
USP47	Ubiquitin specific peptidase 47	8.5	ng/L
KRTAP20-2	Keratin associated protein 20-2	8.5	ng/L
TOMM34	Translocase of outer mitochondrial membrane 34	8.4	ng/L
ALDH3A1	Aldehyde dehydrogenase 3 family member A1	8.4	ng/L
SASH3	SAM and SH3 domain containing 3	8.4	ng/L
TCOF1	Treacle ribosome biogenesis factor 1	8.3	ng/L
UCHL5	Ubiquitin C-terminal hydrolase L5	8.3	ng/L
ABLIM3	Actin binding LIM protein family member 3	8.3	ng/L
LSM14A	LSM14A mRNA processing body assembly factor	8.3	ng/L
TNPO3	Transportin 3	8.2	ng/L
PRMT1	Protein arginine methyltransferase 1	8.2	ng/L
LYPLAL1	Lysophospholipase like 1	8.2	ng/L
NCBP1	Nuclear cap binding protein subunit 1	8.1	ng/L
ESYT2	Extended synaptotagmin 2	8	ng/L
ARL1	ADP ribosylation factor like GTPase 1	8	ng/L
NIPSNAP1	Nipsnap homolog 1	8	ng/L
SNX5	Sorting nexin 5	7.9	ng/L
FAM151A	Family with sequence similarity 151 member A	7.9	ng/L
ISM1	Isthmin 1	7.8	ng/L
HBS1L	HBS1 like translational GTPase	7.8	ng/L
LSM6	"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated"	7.8	ng/L
EFNA5	Ephrin A5	7.8	ng/L
RP2	RP2 activator of ARL3 GTPase	7.7	ng/L
CPSF6	Cleavage and polyadenylation specific factor 6	7.7	ng/L
TMED7	Transmembrane p24 trafficking protein 7	7.7	ng/L
C8orf33	Chromosome 8 open reading frame 33	7.7	ng/L
GBF1	Golgi brefeldin A resistant guanine nucleotide exchange factor 1	7.6	ng/L
DCTD	DCMP deaminase	7.6	ng/L
LANCL2	LanC like glutathione S-transferase 2	7.6	ng/L
FGFBP1	Fibroblast growth factor binding protein 1	7.6	ng/L
POLE3	"DNA polymerase epsilon 3, accessory subunit"	7.6	ng/L
GPR180	G protein-coupled receptor 180	7.6	ng/L
STT3B	STT3 oligosaccharyltransferase complex catalytic subunit B	7.6	ng/L
BDH2	3-hydroxybutyrate dehydrogenase 2	7.6	ng/L
TAP1	"Transporter 1, ATP binding cassette subfamily B member"	7.6	ng/L
PACS1	Phosphofurin acidic cluster sorting protein 1	7.6	ng/L
STX1B	Syntaxin 1B	7.5	ng/L
RPA3	Replication protein A3	7.5	ng/L
HPGD	15-hydroxyprostaglandin dehydrogenase	7.5	ng/L
SNAP91	Synaptosome associated protein 91	7.4	ng/L
PABPN1	Poly(A) binding protein nuclear 1	7.4	ng/L
CYBB	Cytochrome b-245 beta chain	7.4	ng/L
SNX18	Sorting nexin 18	7.4	ng/L
ATP2B1	ATPase plasma membrane Ca2+ transporting 1	7.3	ng/L
SEC23B	"SEC23 homolog B, COPII coat complex component"	7.3	ng/L
PMPCB	"Peptidase, mitochondrial processing subunit beta"	7.3	ng/L
SCOC	Short coiled-coil protein	7.3	ng/L
OTULIN	OTU deubiquitinase with linear linkage specificity	7.3	ng/L
FAM98B	Family with sequence similarity 98 member B	7.3	ng/L
H1-10	H1.10 linker histone	7.3	ng/L
USP7	Ubiquitin specific peptidase 7	7.3	ng/L
RRM2	Ribonucleotide reductase regulatory subunit M2	7.2	ng/L
B3GNT5	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"	7.2	ng/L
GOLPH3	Golgi phosphoprotein 3	7.1	ng/L
AGXT2	Alanine--glyoxylate aminotransferase 2	7.1	ng/L
SNAP25	Synaptosome associated protein 25	7.1	ng/L
CEP170	Centrosomal protein 170	7.1	ng/L
ST6GAL2	"ST6 beta-galactoside alpha-2,6-sialyltransferase 2"	7.1	ng/L
MYO1E	Myosin IE	7.1	ng/L
PACSIN3	Protein kinase C and casein kinase substrate in neurons 3	7.1	ng/L
TSTD1	Thiosulfate sulfurtransferase like domain containing 1	7.1	ng/L
OAT	Ornithine aminotransferase	7	ng/L
FKBP15	FKBP prolyl isomerase family member 15	7	ng/L
SNAPIN	SNAP associated protein	7	ng/L
SRPRB	SRP receptor subunit beta	7	ng/L
TOMM70	Translocase of outer mitochondrial membrane 70	7	ng/L
NPC1	NPC intracellular cholesterol transporter 1	6.9	ng/L
ENAH	ENAH actin regulator	6.9	ng/L
PLOD2	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	6.8	ng/L
FUT1	Fucosyltransferase 1 (H blood group)	6.8	ng/L
TSG101	Tumor susceptibility 101	6.7	ng/L
MPRIP	Myosin phosphatase Rho interacting protein	6.7	ng/L
SMC2	Structural maintenance of chromosomes 2	6.7	ng/L
CARM1	Coactivator associated arginine methyltransferase 1	6.7	ng/L
MINDY3	MINDY lysine 48 deubiquitinase 3	6.7	ng/L
ATP6V1D	ATPase H+ transporting V1 subunit D	6.6	ng/L
UMPS	Uridine monophosphate synthetase	6.5	ng/L
VIL1	Villin 1	6.5	ng/L
CSRP2	Cysteine and glycine rich protein 2	6.5	ng/L
ATAD3A	ATPase family AAA domain containing 3A	6.5	ng/L
ANKS1A	Ankyrin repeat and sterile alpha motif domain containing 1A	6.4	ng/L
LANCL1	LanC like glutathione S-transferase 1	6.4	ng/L
PCSK2	Proprotein convertase subtilisin/kexin type 2	6.4	ng/L
BPHL	Biphenyl hydrolase like	6.4	ng/L
RILP	Rab interacting lysosomal protein	6.4	ng/L
MTM1	Myotubularin 1	6.4	ng/L
AKAP8	A-kinase anchoring protein 8	6.3	ng/L
PFDN1	Prefoldin subunit 1	6.3	ng/L
SCPEP1	Serine carboxypeptidase 1	6.3	ng/L
SYNPO2	Synaptopodin 2	6.3	ng/L
NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	6.3	ng/L
PNN	"Pinin, desmosome associated protein"	6.2	ng/L
FKBP8	FKBP prolyl isomerase 8	6.2	ng/L
FRMD4B	FERM domain containing 4B	6.2	ng/L
TENM2	Teneurin transmembrane protein 2	6.2	ng/L
UQCRQ	Ubiquinol-cytochrome c reductase complex III subunit VII	6.2	ng/L
TSPYL5	TSPY like 5	6.2	ng/L
ATL1	Atlastin GTPase 1	6.2	ng/L
SFXN3	Sideroflexin 3	6.1	ng/L
CUL2	Cullin 2	6.1	ng/L
ENDOU	"Endonuclease, poly(U) specific"	6.1	ng/L
CISD1	CDGSH iron sulfur domain 1	6.1	ng/L
KLC1	Kinesin light chain 1	6.1	ng/L
MTHFS	Methenyltetrahydrofolate synthetase	6.1	ng/L
DYNC1LI1	Dynein cytoplasmic 1 light intermediate chain 1	6.1	ng/L
CUL4B	Cullin 4B	6.1	ng/L
SCN3B	Sodium voltage-gated channel beta subunit 3	6.1	ng/L
B3GALT6	"Beta-1,3-galactosyltransferase 6"	6.1	ng/L
CRTC2	CREB regulated transcription coactivator 2	6	ng/L
MAPKAPK2	MAPK activated protein kinase 2	6	ng/L
NUDT9	Nudix hydrolase 9	6	ng/L
SKIC2	SKI2 subunit of superkiller complex	6	ng/L
TELO2	Telomere maintenance 2	5.9	ng/L
RABGGTB	Rab geranylgeranyltransferase subunit beta	5.9	ng/L
IGF2BP1	Insulin like growth factor 2 mRNA binding protein 1	5.9	ng/L
PPIH	Peptidylprolyl isomerase H	5.9	ng/L
SZRD1	SUZ RNA binding domain containing 1	5.8	ng/L
NPM3	Nucleophosmin/nucleoplasmin 3	5.8	ng/L
SEMA5A	Semaphorin 5A	5.8	ng/L
MSH6	MutS homolog 6	5.8	ng/L
ATAD1	ATPase family AAA domain containing 1	5.8	ng/L
FUT6	Fucosyltransferase 6	5.8	ng/L
SYAP1	Synapse associated protein 1	5.8	ng/L
EPS8L2	EPS8 like 2	5.8	ng/L
HDDC3	HD domain containing 3	5.8	ng/L
STARD10	StAR related lipid transfer domain containing 10	5.8	ng/L
UFL1	UFM1 specific ligase 1	5.7	ng/L
MTREX	Mtr4 exosome RNA helicase	5.7	ng/L
FDX1	Ferredoxin 1	5.7	ng/L
CHMP6	Charged multivesicular body protein 6	5.7	ng/L
UBA6	Ubiquitin like modifier activating enzyme 6	5.6	ng/L
ST3GAL4	"ST3 beta-galactoside alpha-2,3-sialyltransferase 4"	5.6	ng/L
MOB4	"MOB family member 4, phocein"	5.6	ng/L
COLGALT1	Collagen beta(1-O)galactosyltransferase 1	5.6	ng/L
TIMM10	Translocase of inner mitochondrial membrane 10	5.6	ng/L
KERA	Keratocan	5.6	ng/L
CALB2	Calbindin 2	5.6	ng/L
ARHGEF1	Rho guanine nucleotide exchange factor 1	5.5	ng/L
SNX17	Sorting nexin 17	5.5	ng/L
LMO7	LIM domain 7	5.5	ng/L
MIX23	Mitochondrial matrix import factor 23	5.5	ng/L
TOP2A	DNA topoisomerase II alpha	5.4	ng/L
CCER2	Coiled-coil glutamate rich protein 2	5.4	ng/L
SEC61A1	SEC61 translocon subunit alpha 1	5.3	ng/L
TIMM50	Translocase of inner mitochondrial membrane 50	5.3	ng/L
HDAC1	Histone deacetylase 1	5.3	ng/L
NXPE3	Neurexophilin and PC-esterase domain family member 3	5.3	ng/L
PGGT1B	Protein geranylgeranyltransferase type I subunit beta	5.3	ng/L
TIMM44	Translocase of inner mitochondrial membrane 44	5.2	ng/L
RHEB	"Ras homolog, mTORC1 binding"	5.2	ng/L
BAG1	BAG cochaperone 1	5.2	ng/L
CRYZL1	Crystallin zeta like 1	5.2	ng/L
TACC3	Transforming acidic coiled-coil containing protein 3	5.1	ng/L
EFNB3	Ephrin B3	5.1	ng/L
PPP6R3	Protein phosphatase 6 regulatory subunit 3	5.1	ng/L
SLC9A3R2	SLC9A3 regulator 2	5	ng/L
PKP3	Plakophilin 3	5	ng/L
AIDA	"Axin interactor, dorsalization associated"	5	ng/L
DDX18	DEAD-box helicase 18	4.9	ng/L
NOP56	NOP56 ribonucleoprotein	4.9	ng/L
ADAM19	ADAM metallopeptidase domain 19	4.9	ng/L
BORCS6	BLOC-1 related complex subunit 6	4.9	ng/L
SF3B6	Splicing factor 3b subunit 6	4.8	ng/L
FHL2	Four and a half LIM domains 2	4.8	ng/L
ACTL6A	Actin like 6A	4.8	ng/L
SYN2	Synapsin II	4.8	ng/L
BSDC1	BSD domain containing 1	4.8	ng/L
RBKS	Ribokinase	4.8	ng/L
PYCR1	Pyrroline-5-carboxylate reductase 1	4.8	ng/L
ARHGAP15	Rho GTPase activating protein 15	4.7	ng/L
MTA2	Metastasis associated 1 family member 2	4.7	ng/L
LETM1	Leucine zipper and EF-hand containing transmembrane protein 1	4.7	ng/L
ASMTL	Acetylserotonin O-methyltransferase like	4.7	ng/L
SART1	"Spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP"	4.7	ng/L
TREX2	Three prime repair exonuclease 2	4.7	ng/L
SNRNP40	Small nuclear ribonucleoprotein U5 subunit 40	4.6	ng/L
TRIM25	Tripartite motif containing 25	4.6	ng/L
ACOT9	Acyl-CoA thioesterase 9	4.6	ng/L
LARP1	"La ribonucleoprotein 1, translational regulator"	4.6	ng/L
RIC8A	RIC8 guanine nucleotide exchange factor A	4.6	ng/L
GABARAPL2	GABA type A receptor associated protein like 2	4.5	ng/L
TCERG1	Transcription elongation regulator 1	4.5	ng/L
DNAJB2	DnaJ heat shock protein family (Hsp40) member B2	4.5	ng/L
TTPA	Alpha tocopherol transfer protein	4.5	ng/L
CD22	CD22 molecule	4.4	ng/L
BCLAF1	BCL2 associated transcription factor 1	4.4	ng/L
EDC4	Enhancer of mRNA decapping 4	4.4	ng/L
SEMA3C	Semaphorin 3C	4.4	ng/L
CAV1	Caveolin 1	4.4	ng/L
TTC1	Tetratricopeptide repeat domain 1	4.4	ng/L
ITPR1	"Inositol 1,4,5-trisphosphate receptor type 1"	4.4	ng/L
PRXL2B	Peroxiredoxin like 2B	4.4	ng/L
OXR1	Oxidation resistance 1	4.4	ng/L
MDP1	Magnesium dependent phosphatase 1	4.4	ng/L
NCAPG	Non-SMC condensin I complex subunit G	4.3	ng/L
CNMD	Chondromodulin	4.3	ng/L
VPS45	Vacuolar protein sorting 45 homolog	4.3	ng/L
DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	4.3	ng/L
UFD1	Ubiquitin recognition factor in ER associated degradation 1	4.2	ng/L
DHRS2	Dehydrogenase/reductase 2	4.2	ng/L
EIF2B1	Eukaryotic translation initiation factor 2B subunit alpha	4.2	ng/L
BRIX1	Biogenesis of ribosomes BRX1	4.2	ng/L
CLIP1	CAP-Gly domain containing linker protein 1	4.2	ng/L
ZRANB2	Zinc finger RANBP2-type containing 2	4.2	ng/L
SLMAP	Sarcolemma associated protein	4.2	ng/L
GPHN	Gephyrin	4.2	ng/L
IL16	Interleukin 16	4.2	ng/L
ANKFY1	Ankyrin repeat and FYVE domain containing 1	4.2	ng/L
FHIT	Fragile histidine triad diadenosine triphosphatase	4.2	ng/L
VWA7	Von Willebrand factor A domain containing 7	4.2	ng/L
CCDC6	Coiled-coil domain containing 6	4.1	ng/L
SLC25A12	Solute carrier family 25 member 12	4.1	ng/L
RBM39	RNA binding motif protein 39	4.1	ng/L
TIPRL	TOR signaling pathway regulator	4.1	ng/L
PDCD4	Programmed cell death 4	4.1	ng/L
MEMO1	Mediator of cell motility 1	4.1	ng/L
SYNM	Synemin	4.1	ng/L
XYLB	Xylulokinase	4	ng/L
HMOX2	Heme oxygenase 2	4	ng/L
VPS26B	VPS26 retromer complex component B	4	ng/L
ADAM8	ADAM metallopeptidase domain 8	4	ng/L
BTLA	B and T lymphocyte associated	4	ng/L
CDC5L	Cell division cycle 5 like	3.9	ng/L
INPP4B	Inositol polyphosphate-4-phosphatase type II B	3.9	ng/L
EIF2B2	Eukaryotic translation initiation factor 2B subunit beta	3.9	ng/L
DFFA	DNA fragmentation factor subunit alpha	3.9	ng/L
STK38	Serine/threonine kinase 38	3.8	ng/L
FGD3	"FYVE, RhoGEF and PH domain containing 3"	3.8	ng/L
REPS1	RALBP1 associated Eps domain containing 1	3.8	ng/L
CSAD	Cysteine sulfinic acid decarboxylase	3.8	ng/L
TIMM8B	Translocase of inner mitochondrial membrane 8 homolog B	3.8	ng/L
ARIH2	Ariadne RBR E3 ubiquitin protein ligase 2	3.8	ng/L
SHTN1	Shootin 1	3.8	ng/L
CRAT	Carnitine O-acetyltransferase	3.7	ng/L
BCCIP	BRCA2 and CDKN1A interacting protein	3.7	ng/L
PITRM1	Pitrilysin metallopeptidase 1	3.7	ng/L
SLC25A11	Solute carrier family 25 member 11	3.7	ng/L
AFTPH	Aftiphilin	3.7	ng/L
BPIFA2	BPI fold containing family A member 2	3.7	ng/L
NAT10	N-acetyltransferase 10	3.7	ng/L
IL17RC	Interleukin 17 receptor C	3.7	ng/L
SDHB	Succinate dehydrogenase complex iron sulfur subunit B	3.6	ng/L
MYO1B	Myosin IB	3.6	ng/L
TNS3	Tensin 3	3.6	ng/L
SMARCC2	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2"	3.6	ng/L
PEX19	Peroxisomal biogenesis factor 19	3.6	ng/L
GNL1	G protein nucleolar 1 (putative)	3.6	ng/L
BOP1	BOP1 ribosomal biogenesis factor	3.6	ng/L
KDM1A	Lysine demethylase 1A	3.5	ng/L
SORBS3	Sorbin and SH3 domain containing 3	3.5	ng/L
EXOC4	Exocyst complex component 4	3.5	ng/L
OS9	OS9 endoplasmic reticulum lectin	3.5	ng/L
GRK2	G protein-coupled receptor kinase 2	3.5	ng/L
DAAM1	Dishevelled associated activator of morphogenesis 1	3.4	ng/L
STRN	Striatin	3.4	ng/L
SCYL2	SCY1 like pseudokinase 2	3.4	ng/L
